Domande;Riformulazione
Auto in fringe benefit: come individuare le voci a cedolino?;Auto in fringe benefit: come faccio a identificare le voci sulla busta paga?
Come accedere i servizi di amministrazione del personale via mobile: APP DMGO?;Come posso accedere ai servizi di gestione del personale tramite l'applicazione DMGO?
Come ottenere il certificato di stipendio per la cessione del quinto?;Qual è la procedura per ottenere il certificato di stipendio per la cessione del quinto?
Come viene indicata la 13ma/14ma mensilità sul cedolino di dicembre/giugno?;In che modo vengono riportate la tredicesima e la quattordicesima sulla busta paga di dicembre/giugno?
Cos' è la rateazione del debito proveniente da modello 730?;Che cosa significa la rateazione del debito derivante dal modello 730?
Cos'è la trattenuta CRA2A?;Che cosa rappresenta la trattenuta CRA2A?
Dove trovo l'importo rimborsato tramite il modello 730?;Come posso verificare l'importo rimborsato attraverso il modello 730?
Hai dei dubbi in merito alla lettura del tuo cedolino?;Come si legge la busta paga?
Quando serve indicare o rimuovere figlie/i a carico?;Come si fa a chiedere l'assegno familiare?
Che cos'è lo zainetto e come utilizzarlo?;Come funziona l'orario di lavoro flessibile?
Come annullare inserimento giustificativo?;Qual è il metodo per annullare un giustificativo inserito per errore?
Come eliminare un giustificativo di assenza inserito che poi per esigenze di servizio non ho usato?;Qual è il modo per rimuovere un giustificativo di assenza che non ho utilizzato per esigenze di lavoro?
Come inserire giustificativi per lavoro da remoto?;Come posso aggiungere giustificativi per lo smartworking/telelavoro?
Come inserire giustificativo ritardo?;Quali sono le regole per giustificare un ritardo?
Come inserire le ore viaggio?;Come posso registrare le ore di viaggio?
Come posso giustificare una assenza?;Qual è il modo per giustificare un'assenza?
"Come posso impostare i giustificativi tra i ""preferiti"" per la selezione automatica?";"Come posso aggiungere i giustificativi ai ""preferiti"" per la selezione automatica?"
Come posso verificare la presenza di eventuali anomalie presenze?;Come posso controllare se ci sono anomalie nelle ore lavorate?
Come posso visualizzare la mia spettanza ferie e verificarne il residuo alla data?;Come posso visualizzare il mio saldo ferie?
Come posso visualizzare le mie timbrature?;In che modo posso vedere le mie timbrature?
Come puoi nominare un delegato all'approvazione delle presenze del tuo team?;Qual è la procedura per nominare un sostituto che approvi le presenze del mio team?
Come richiedere inserire un permesso congedo e richieste di natura personale?;Come posso chiedere un permesso di congedo (matrimoniale parentale maternità paternità)
Come risolvere errori di visualizzazione su DM TIME?;Come posso affrontare problemi di visualizzazione su DM TIME?
È possibile inserire manualmente una timbratura?;Posso registrare manualmente una timbratura?
Posso giustificare un periodo di FERIE di più giorni consecutivi con un unico inserimento?;È possibile giustificare un periodo di ferie prolungato con un solo inserimento?
Quali informazioni sono generate dal sistema in base alle timbrature ed ai giustificativi inseriti?;Quali dati vengono creati dal sistema in base alle timbrature e ai giustificativi inseriti?
Come fare per prenotare un viaggio di lavoro?;Qual è la procedura per prenotare un viaggio di lavoro?
Come inserire giustificativo spese alloggio?;Qual è il metodo per registrare un giustificativo per le spese di alloggio?
Come inserire rimborsi per vitto?;Come posso registrare i rimborsi per il vitto?
Come inserire spese di rappresentanza?;Qual è la procedura per registrare le spese di rappresentanza?
Come posso chiudere una nota spese e mandarla in approvazione?;Come chiedere il rimborso spese?
